palavra;traducao
wenden;entrar em contato
Angaben;declarações
nach Angaben der Behörden;segundo declarações das autoridades
Rahmen;âmbito
Rahmenbedingungen;condições gerais
umgang mit;lidar com
aufrufen;chamar/convocar
dadurch;consequente
Gerichtshof;Tribunal
deutlich machen;deixar claro
angesichts;diante de
Auswirkungen;efeitos
bereits;já (mais formal que schon)
schon;já
entlassen;demitir
begrunden;justificar
deren Verantwortung;sua responsabilidade
Leiter;head/diretor
Amt;escritório/cargo
Gebieten;comando 
festgenommen;preso
vorübergehend festgenommen worden;foi preso temporariamente
ungeheuerliche;enormes
versäumen;falhar/perder 
auffordern;apelar
derzeit;atualmente
Unterzeichnern;signatários
Schäden;dano
Verlusten;perda
Beweise vorzulegen;apresentar provas
erneuten;novamente/reiterado
zuvor;anteriormente
Schritt;passo
Lebewesen;criatura
Schnittstelle;interface
Schnitt;corte/intersecção
Gebiete;área
Bereich;área
Bericht;relatório/relato
Abkommen;acordo
wiederaufnahme;retomar
Vermittlung;mediação
verhandeln;negociar
Nahrungsmittelkrise;crise alimentar
preise steigen lassen;elevar os preços
Vertreter;representante
mitteilen;informar/comunicar
Müdigkeit;cansaço
laufender Nase;coriza 
Reizhusten;tosse seca
Gefängnis;cadeia
Bewusstsein;consciência
ausrauben;roubar
mutmaßlichen;suposto
besiegen;vencer/derrotar
Auswahl;seleção (pode ser de futebol)
Vergebung;perdão
stecken;colocar/inserir/plugar
Strecke;percurso/trajeto
strecken;alongar/esticar
vollstrecken;executar (pessoas ou procedimentos)/aplicar
vorsehen;prever/permitir/estabelecer
Volksabstimmung;referendo/plebiscito
Volk;povo 
Abstimmung;votação
darunter;entre eles/abaixo
Unglück;acidente/desastre (=Unfall)
Unfall;acidente/desastre (=Unglück)
Ungehorsam;desobediência
in Gewahrsam genommen;sob custódia
Zweifel;dúvida
beschießen;bombardear/atirar
Häfen;portos
weder … noch …;nem … nem …
Wiederinbetriebnahme;reinício/reativação
inbetriebnahme;partida/lançamento/ativação
Feind;inimigo
übermitteln;transmitir
Ursache;causa
Kraft;force/força/potência
Kohle;carvão
ab sofort;a partir de agora
einigen;concordar
Frist;prazo
Einfuhrverbot;proibição de importação
Verbot;proibição
Einfuhr;importação
einstellen;ajustar
schwächen;enfraquecer
ein Minus;uma perda
geeinigt haben;concordou
steigen;aumentar 
gestiegen (habe);aumentou
Ableger;filial/ramificação
leiden;sofrer
psychischer Belastung;estresse mental
ausreichend;suficiente 
leisten;fornecer
zustimmen;aprovar
Beitritt;adesão/entrada
Stimme;voto
anschließend;então
befürworten;apoiar/defender
Bildung;formação/ensino
entscheidend;decisivo
trügen;enganar/iludir
Bevölkerung;população local
bekunden;manifestar/expressar
knapp;quase
Frieden;paz
Vermittlung;mediação
Verhandlungen;negociações
führen;conduzir
geführt (haben);conduziu 
